Site Code,Site Name,"IDWF, l/s","Maximum Infiltration Rate      (Imax, l/s)",Note,Site Name,Previous max infiltration rate where known,"Maximum Infiltration Rate (Imax, l/s)",Annual Return Population Equivalent (2020) (Unrounded),Previous Trade Effluent where known,Trade Effluent (l/day) (2020),Water Resource Zone,TW Est. of per capita domestic flow in this area (l/hd/day)
ABBES1ZZ,Abbess Roding,0.9,8.8,Reviewed 2021,Abbess Roding,,8.80, 666 ,, -   , Z5 Stort (Affinity Water 2020) , 131.0 
ABINS1ZZ,Abingdon,60.7,161.1,Reviewed 2022,Abingdon,,142," 38,705 ","113,969"," 113,969 ",SWOX (2020), 139.9 
ALDES1ZZ,Aldermaston,0.1,3.8,Reviewed 2022,Aldermaston,,4.20, 367 ,, -   , Kennet Valley (2020) , 138.3 
ALDES2ZZ,Aldershot,36.1,94.4,Reviewed 2021,Aldershot,,94.40," 39,598 ",," 102,566 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
ALTOS1ZZ,Alton,69.5,96.8,Reviewed 2021,Alton,,220," 25,479 ",," 209,718 ", WRZ5 Farnham (South East Water 2020) , 139.0 
AMPNS1ZZ,Ampney St Peter,1.1,12.3,Reviewed 2021,Ampney St Peter,12.30,12.50," 2,490 ",0, -   ,SWOX (2020), 139.9 
ANDOS1ZZ,Andoversford,0.9, 4.0 ,Reviewed 2022,Andoversford,0.00,3.90, 701 ,0, -   ,SWOX (2020), 139.9 
APPLS1ZZ,Appleton (New),3.4,20.7,Reviewed 2019,Appleton (New),,20.70," 6,102 ",," 3,867 ",SWOX (2020), 139.9 
ARBOS1ZZ,Arborfield,16.7, 103.3 ,Reviewed 2022,Arborfield,,107.00," 18,571 ",," 6,682 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
ASCOS1ZZ,Ascot,31.4, 90.0 ,Reviewed 2020,Ascot,,64.80," 33,168 ",," 21,233 "," 50% Z6 Wey (Affinity 2020), 50% WRZ4 Bracknell (South East Water 2020) ", 144.1 
ASHES1ZZ,Ashendon,0.0, no data ,"Based on solar year 2022, unverified",Ashendon,,, 195 ,, -   , Slough Wycombe Aylesbury (2020) , 138.3 
ASHFS1ZZ,Ashford Hill,0.0, no data ,"Based on solar year 2018, unverified",Ashford Hill,,0.05, 42 ,, -   , Kingsclere (Southern Water 2020) , 163.3 
ASHLS1ZZ,Ashley Green,0.0, 0.5 ,Reviewed 2022,Ashley Green,,0.20, 291 ,, -   , Z2 Colne (Affinity 2020) , 145.8 
ASHRS1ZZ,Wokingham,15.3, 40.5 ,Not reviewed 2022,Wokingham,,149.00," 13,176 ",," 1,673 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
ASHTS1ZZ,Ashton Keynes,5.5, 17.8 ,Reviewed 2022,Ashton Keynes,12.40,," 1,326 ",, -   ,SWOX (2020), 139.9 
ASHVS1ZZ,Ash Vale,35.1, 66.0 ,Reviewed 2021,Ash Vale,,61.50," 15,779 ",," 8,671 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
ASTOS1ZZ,Aston Le Walls,0.0, 1.3 ,Reviewed 2022,Aston Le Walls,,1.00, 278 ,, -   , Ruthamford (Anglian 2020) , 128.8 
AVONS1ZZ,Avon Dassett,0.0, no data ,"Based on solar year 2022, unverified",Avon Dassett,,0.03, 197 ,, -   ,Strategic Grid (Severn Trent 2020), 125.2 
AYLES1ZZ,Aylesbury,60.6, 345.0 ,Reviewed 2021,Aylesbury,345.00,406.00," 115,300 ","1,591,616"," 1,591,616 ",Slough Wycombe Aylesbury (2020), 138.3 
BAMPS1ZZ,Bampton,1.5, 14.4 ,Reviewed 2021,Bampton,0.00,14.60," 4,581 ","69,300"," 69,300 ",SWOX (2020), 139.9 
BANBS1ZZ,Banbury,45.8, 177.0 ,Reviewed 2021,Banbury,160.00,168.00," 78,023 ","2,375,756"," 2,375,756 ",SWOX (2020), 139.9 
BARFS1ZZ,Barford St Michael,0.2, 7.1 ,Reviewed 2022,Barford St Michael,0.00,2.30, 769 ,, -   ,SWOX (2020), 139.9 
BARKS1ZZ,Barkway,0.0, 1.5 ,Reviewed 2017,Barkway,,1.53, 644 ,, -   , Z5 Stort (Affinity Water 2020) , 131.0 
BASIS1ZZ,Basingstoke,38.9, 301.0 ,Reviewed 2021,Basingstoke,,304.00," 137,020 ",," 612,561 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
BASIS2ZZ,Basildon Park,0.0, no data ,"Based on solar year 2017, unverified",Basildon Park,,0.00, 14 ,, -   , SWOX (2020) , 139.9 
BAYDS1ZZ,Baydon,0.0, 0.2 ,Reviewed 2020,Baydon,,0.20, 709 ,, -   , SWOX (2020) , 139.9 
BECKS1ZZ,Beckton,6053.0," 9,133.0 ",Reviewed 2022,Beckton,,8327.00," 3,799,868 ",," 10,737,008 ", London (2020) , 138.4 
BECKS2ZZ,Beckley,no data, no data ,no data,Beckley,0.00,0.03, 336 ,, -   ,SWOX (2020), 139.9 
BEDDS1ZZ,Beddington,522.7, 956.1 ,Reviewed 2018,Beddington,,547.00," 414,472 ",," 421,158 ", WRZ (Sutton & East Surrey 2020) , 145.5 
BEENS1ZZ,Beenham,0.3, 3.3 ,Reviewed 2022,Beenham,,3.00, 697 ,, -   , Kennet Valley (2020) , 138.3 
BENSS1ZZ,Benson,9.4, 36.7 ,Reviewed 2020,Benson,,38.34," 7,088 ",," 18,858 ", SWOX (2020) , 139.9 
BENTS1ZZ,Bentley,1.2, 14.0 ,Reviewed 2021,Bentley,,13.10," 2,471 ",, -   , WRZ5 Farnham (South East Water 2020) , 139.0 
BERKS1ZZ,Berkhamsted,35.2, 194.5 ,Reviewed 2020,Berkhamsted,,183.72," 25,507 ",," 48,452 ", Z2 Colne (Affinity 2020) , 145.8 
BIBUS1ZZ,Bibury,1.3, 6.4 ,Reviewed 2021,Bibury,6.40,6.50, 626 ,, -   ,SWOX (2020), 139.9 
BICES1ZZ,Bicester,50.8, 176.0 ,Reviewed 2019,Bicester,170.00,," 50,451 ","574,996"," 574,996 ",SWOX (2020), 139.9 
BILLS1ZZ,Billingbear Binfield,0.0, no data ,"Based on solar year 2022, unverified",Billingbear Binfield,,, 39 ,, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
BISHS1ZZ,Bishops Stortford,53.5, 94.7 ,Reviewed 2018,Bishops Stortford,,96.11," 69,861 ",," 272,767 ", Z5 Stort (Affinity Water 2020) , 131.0 
BISHS3ZZ,Bishops Green,0.0, no data ,"Based on solar year 2019, unverified",Bishops Green,,0.00, 12 ,, -   , Kennet Valley (2020) , 138.3 
BLACS1ZZ,Blackbirds,104.5, 230.7 ,Not reviewed 2022,Blackbirds,,155.00," 95,609 ",," 505,674 ", Z2 Colne (Affinity 2020) , 145.8 
BLEDS1ZZ,Bledington,1.1, 3.9 ,Not reviewed 2022,Bledington,0.00,4.10, 596 ,, -   ,SWOX (2020), 139.9 
BLETS1ZZ,Bletchingdon (New),0.9, 3.9 ,Reviewed 2022,Bletchingdon (New),,4.20," 1,435 ",, -   ,SWOX (2020), 139.9 
BLOXS1ZZ,Bloxham,2.0, 17.0 ,Reviewed 2020,Bloxham,,17.20," 4,738 ",, -   ,SWOX (2020), 139.9 
BLUNS1ZZ,Blunsdon,1.8, 7.7 ,Reviewed 2022,Blunsdon,7.40,8.30," 2,066 ",, -   ,SWOX (2020), 139.9 
BODDS1ZZ,Boddington,0.2, 3.9 ,Not reviewed 2022,Boddington,,0.69, 514 ,, -   ,Ruthamford (Anglian Water 2020), 128.8 
BORDS1ZZ,Bordon,25.1, 61.8 ,Reviewed 2021,Bordon,,64.00," 36,981 ",," 25,046 ", WRZ5 Farnham (South East Water 2020) , 139.0 
BOURS1ZZ,Bourton (Oxon),0.1, no data ,"Based on solar year 2017, unverified",Bourton (Oxon),0.00,0.08, 293 ,, -   ,SWOX (2020), 139.9 
BOURS2ZZ,Bourton-On-The-Water,22.9, 85.0 ,Reviewed 2021,Bourton-On-The-Water,63.60,64.90," 4,794 ",, -   ,SWOX (2020), 139.9 
BOXFS1ZZ,Boxford,0.4, 1.4 ,Reviewed 2021,Boxford,,1.10, 359 ,, -   , Kennet Valley (2020) , 138.3 
BRACS1ZZ,Bracknell,41.7, 150.0 ,Reviewed 2017,Bracknell,,152.25," 82,999 ",," 245,509 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
BRAMS1ZZ,Bramfield,0.0, no data ,"Based on solar year 2021, unverified",Bramfield,,, 203 ,, -   , Z3 Lee (Affinity 2020) , 145.0 
BRAUS1ZZ,Braughing,0.5, 5.2 ,Reviewed 2021,Braughing,,3.30," 1,536 ",, -   , Z5 Stort (Affinity Water 2020) , 131.0 
BREAS1ZZ,Breachwood Green,0.3, 1.7 ,Reviewed 2017,Breachwood Green,,0.32, 772 ,, -   , Z3 Lee (Affinity 2020) , 145.0 
BRICS1ZZ,Brickenden,0.1, 1.0 ,Not reviewed 2022,Brickenden,,1.20, 232 ,, -   , Z3 Lee (Affinity 2020) , 145.0 
BROAS1ZZ,Broad Hinton,0.0, 0.4 ,Reviewed 2022,Broad Hinton,,2.00, 597 ,, -   , SWOX (2020) , 139.9 
BROAS2ZZ,Broadwell,4.1, 14.8 ,Reviewed 2019,Broadwell,0.00,4.10," 3,099 ",377, 377 ,SWOX (2020), 139.9 
BROUS1ZZ,Broughton,2.3, 10.5 ,Not reviewed 2022,Broughton,12.50,," 1,740 ",, -   ,SWOX (2020), 139.9 
BUCKS1ZZ,Buckland (Oxon),0.2, 1.5 ,Reviewed 2020,Buckland (Oxon),1.60,, 354 ,, -   ,SWOX (2020), 139.9 
BUCKS2ZZ,Bucklebury,0.6, 7.5 ,Reviewed 2022,Bucklebury,,6.70," 1,067 ",, -   , Kennet Valley (2020) , 138.3 
BUNTS1ZZ,Buntingford,0.2, 13.8 ,Reviewed 2020,Buntingford,,11.67," 6,385 ",," 4,981 ", Z3 Lee (Affinity 2020) , 145.0 
BURFS1ZZ,Burford,1.7, 6.5 ,Reviewed 2019,Burford,0.00,1.67," 1,786 ",718, 718 ,SWOX (2020), 139.9 
BURGS1ZZ,Burghfield,2.2, 27.7 ,Reviewed 2021,Burghfield,,28.50," 7,199 ",, -   , Kennet Valley (2020) , 138.3 
BURSS1ZZ,Burstow,0.0, 28.5 ,Reviewed 2020,Burstow,,," 10,881 ",," 6,216 ", WRZ (Sutton & East Surrey 2020) , 145.5 
BUSCS1ZZ,Buscot,0.0, no data ,"Based on solar year 2019, unverified",Buscot,0.00,0.01, 47 ,, -   ,SWOX (2020), 139.9 
BYFIS1ZZ,Byfield,0.9, 16.0 ,Reviewed 2022,Byfield,13.00,," 5,317 ",, 82 ,Ruthamford (Anglian Water 2020), 128.8 
CADDS1ZZ,Caddington,0.0, 4.8 ,Reviewed 2022,Caddington,,2.90," 5,436 ",, -   , Z3 Lee (Affinity 2020) , 145.0 
CAMBS1ZZ,Camberley,74.8, 261.4 ,Reviewed 2019,Camberley,,264.92," 146,756 ",," 479,213 ", WRZ4 Bracknell (South East Water 2020) , 146.2 
CARTS1ZZ,Carterton,4.9, 60.8 ,Not reviewed 2022,Carterton,55.30,," 12,837 ","20,759"," 20,759 ",SWOX (2020), 139.9 
CASSS1ZZ,Cassington (New),5.7, 43.2 ,Reviewed 2021,Cassington (New),0.00,49.70," 18,281 ","17,793"," 17,793 ",SWOX (2020), 139.9 
CASTS1ZZ,Castle Eaton,0.2, no data ,"Based on solar year 2018, unverified",Castle Eaton,0.00,0.18, 201 ,, -   ,SWOX (2020), 139.9 
CHACS1ZZ,Chacombe,0.3, 1.8 ,Reviewed 2022,Chacombe,0.00,1.40, 606 ,, -   ,Ruthamford (Anglian Water 2020), 128.8 
CHADS1ZZ,Chadlington,0.8, 4.5 ,Reviewed 2022,Chadlington,0.00,3.00, 696 ,, -   ,SWOX (2020), 139.9 
CHALS1ZZ,Chalgrove,2.3, 11.9 ,Not reviewed 2021,Chalgrove,11.90,10.70," 3,199 ",, -   ,SWOX (2020), 139.9 
CHAPS1ZZ,Chapel Row (Berks),0.2, 1.8 ,Reviewed 2022,Chapel Row (Berks),,1.80, 309 ,, -   , Kennet Valley (2020) , 138.3 
CHAPS2ZZ,Chapmore End,0.0, 0.8 ,Reviewed 2021,Chapmore End,,0.81, 305 ,, -   , Z5 Stort (Affinity Water 2020) , 131.0 
CHARS1ZZ,Charlbury,0.8, 5.4 ,Reviewed 2022,Charlbury,0.00,1.09," 2,759 ",, -   ,SWOX (2020), 139.9 
CHARS2ZZ,Charlton-On-Otmoor,0.7, 3.7 ,Reviewed 2014,Charlton-On-Otmoor,3.70,," 1,052 ",, -   ,SWOX (2020), 139.9 
CHARS4ZZ,Charwelton,0.2, no data ,"Based on solar year 2019, unverified",Charwelton,,0.15, 156 ,, -   ,Ruthamford (Anglian Water 2020), 128.8 
CHARS5ZZ,Charney Bassett,0.3, 2.5 ,Reviewed 2021,Charney Bassett,2.51,2.30, 261 ,, -   ,SWOX (2020), 139.9 
CHATS1ZZ,Chatter Alley,0.1, no data ,"Based on solar year 2018, unverified",Chatter Alley,,0.05, 86 ,, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
CHENS1ZZ,Chenies,0.0, no data ,"Based on solar year 2018, unverified",Chenies,,0.03, 152 ,, -   , Z1 Misbourne (Affinity 2020) , 134.0 
CHERS1ZZ,Chertsey,66.5, 269.5 ,Reviewed 2021,Chertsey,,346.00," 87,545 ",," 488,826 ", Z6 Wey (Affinity 2020) , 141.9 
CHESS1ZZ,Chesham,34.0, 200.0 ,Reviewed 2020,Chesham,,176.75," 37,251 ",," 126,215 ", Z1 Misbourne (Affinity 2020) , 134.0 
CHIES1ZZ,Chieveley,1.9, 8.7 ,Reviewed 2021,Chieveley,,8.70," 5,604 ",," 14,716 ", Kennet Valley (2020) , 138.3 
CHILS1ZZ,Chilton Foliat,0.9, 4.1 ,Reviewed 2022,Chilton Foliat,,5.00, 339 ,, -   , SWOX (2020) , 139.9 
CHILS2ZZ,Chilton (Bucks),0.0, 0.3 ,Reviewed 2022,Chilton (Bucks),0.30,0.30, 201 ,, -   ,Slough Wycombe Aylesbury (2020), 138.3 
CHINS1ZZ,Chinnor,5.8, 33.7 ,Reviewed 2021,Chinnor,33.70,33.47," 7,092 ",, -   ,SWOX (2020), 139.9 
CHIPS1ZZ,Chipping Norton,4.4, 26.2 ,Reviewed 2021,Chipping Norton,26.00,22.60," 9,813 ",," 24,040 ",SWOX (2020), 139.9 
CHIPS2ZZ,Chipping Warden,0.7, 14.7 ,Reviewed 2022,Chipping Warden,,18.70," 1,350 ",, -   ,Ruthamford (Anglian Water 2020), 128.8 
CHOBS1ZZ,Chobham,2.1, 22.9 ,Not reviewed 2019,Chobham,,23.13," 12,758 ",," 15,025 ", Z6 Wey (Affinity 2020) , 141.9 
CHOLS1ZZ,Cholsey,12.2, 45.2 ,Reviewed 2020,Cholsey,,46.20," 17,286 ",," 54,659 ", SWOX (2020) , 139.9 
CHURS1ZZ,Church Hanborough,9.1, 23.5 ,Reviewed 2022,Church Hanborough,20.80,21.32," 7,527 ",36, 36 ,SWOX (2020), 139.9 
CIRES1ZZ,Cirencester,40.9, 232.2 ,Not reviewed 2021,Cirencester,185.00,216.00," 31,629 ","64,297"," 64,297 ",SWOX (2020), 139.9 
CLANS1ZZ,Clanfield,3.2, 6.8 ,Reviewed 2022,Clanfield,0.00,6.70, 903 ,, -   ,SWOX (2020), 139.9 
CLAVS1ZZ,Clavering,0.0, 5.2 ,Reviewed 2021,Clavering,,6.80," 1,762 ",, -   , Z5 Stort (Affinity Water 2020) , 131.0 
CLAYS1ZZ,Claydon,0.3, 1.2 ,Reviewed 2022,Claydon,,1.10, 326 ,, -   , SWOX (2020) , 139.9 
CLIFS1ZZ,Clifton,0.0, no data ,"Based on solar year 2022, unverified",Clifton,0.00,0.03, 209 ,, -   ,SWOX (2020), 139.9 
COATS1ZZ,Coates,0.0, 0.2 ,Reviewed 2022,Coates,0.00,0.20, 375 ,, -   ,SWOX (2020), 139.9 
COBES1ZZ,Coberley,0.0, no data ,"Based on solar year 2018, unverified",Coberley,0.00,0.04, 95 ,, -   ,Strategic Grid (Severn Trent 2020), 125.2 
COLES2ZZ,Coleshill,0.0, no data ,"Based on solar year 2019, unverified",Coleshill,0.00,, 126 ,, -   ,SWOX (2020), 139.9 
COLGS1ZZ,Colgate,0.0, no data ,"Based on solar year 2022, unverified",Colgate,,0.02, 160 ,, -   , Sussex North (Southern Water 2020) , 128.2 
COMBS1ZZ,Combe,0.2, 2.5 ,Reviewed 2022,Combe,0.00,2.10, 681 ,, -   ,SWOX (2020), 139.9 
COMPS1ZZ,Compton,0.1, 29.3 ,Reviewed 2022,Compton,,28.40," 1,663 ",," 12,648 ", SWOX (2020) , 139.9 
COTTS1ZZ,Cottered,0.1, 1.9 ,Reviewed 2021,Cottered,,1.70, 443 ,, -   , Z3 Lee (Affinity 2020) , 145.0 
CRANS1ZZ,Cranleigh,12.5, 52.8 ,Reviewed 2022,Cranleigh,,45.05," 14,815 ",," 43,840 ", Guildford (2020) , 144.5 
CRAWS1ZZ,Crawley,31.4, 247.4 ,Reviewed 2021,Crawley,,215.00," 128,362 ",," 3,740,688 ", Sussex North (Southern Water 2020) , 128.2 
CRICS1ZZ,Cricklade,1.2, 13.1 ,Reviewed 2021,Cricklade,13.10,17.70," 4,087 ",, -   ,SWOX (2020), 139.9 
CRONS1ZZ,Crondall,0.8, 19.9 ,Reviewed 2019,Crondall,,," 1,372 ",, -   , WRZ4 Bracknell (South East Water 2020) , 146.2 
CROPS1ZZ,Cropredy,1.1, no data ,"Based on solar year 2019, unverified",Cropredy,0.00,0.99," 1,239 ",, -   ,SWOX (2020), 139.9 
CROSS1ZZ,Crossness,2622.0," 4,544.0 ",Reviewed 2022,Crossness,,4368.00," 1,973,974 ",," 4,960,832 ", London (2020) , 138.4 
CROUS1ZZ,Croughton,0.7, 3.7 ,Reviewed 2017,Croughton,3.70,, 965 ,, -   ,Ruthamford (Anglian Water 2020), 128.8 
CUDDS1ZZ,Cuddesdon,0.3, 2.6 ,Reviewed 2022,Cuddesdon,0.00,2.30, 462 ,, -   ,SWOX (2020), 139.9 
CUDDS2ZZ,Cuddington,2.3, no data ,"Based on solar year 2017, unverified",Cuddington,0.00,0.82, 488 ,, -   ,Slough Wycombe Aylesbury (2020), 138.3 
CULHS1ZZ,Culham,3.6, 21.0 ,Reviewed 2021,Culham,21.00,19.60," 4,123 ",477, 477 ,SWOX (2020), 139.9 
CULWS1ZZ,Culworth,0.6, 2.6 ,Reviewed 2018,Culworth,0.00,0.38, 475 ,, -   ,Ruthamford (Anglian Water 2020), 128.8 
DAGNS1ZZ,Dagnall,0.0, 0.3 ,Reviewed 2022,Dagnall,,0.07, 451 ,, -   , Slough Wycombe Aylesbury (2020) , 138.3 
DANES1ZZ,Dane End,0.2, 2.0 ,Reviewed 2021,Dane End,,2.10, 803 ,, -   , Z5 Stort (Affinity Water 2020) , 131.0 
DEEPS1ZZ,Deephams,637.9," 2,553.0 ",Not reviewed 2021,Deephams,,1481.00," 961,844 ",," 6,926,435 ", London (2020) , 138.4 
DIDCS1ZZ,Didcot,62.5, 175.8 ,Reviewed 2021,Didcot,,211.00," 48,112 ",," 749,925 ",SWOX (2020), 139.9 
DORCS1ZZ,Dorchester,1.8, 13.0 ,Reviewed 2017,Dorchester,13.00,13.26," 1,921 ",, -   ,SWOX (2020), 139.9 
DORKS1ZZ,Dorking,8.6, 55.8 ,Reviewed 2021,Dorking,,52.30," 29,101 ",," 28,956 ", WRZ (Sutton & East Surrey 2020) , 145.5 
